crop_type,soil_type,soil_moisture,temperature,humidity,nutrient_level,soil_pH,action
Rice,Clay,71,34,88,5,5.7,none
Corn,Loamy,53,30,44,3,7.0,none
Wheat,Loamy,53,20,69,4,7.0,none
Corn,Sandy,53,21,60,5,5.9,none
Sugarcane,Loamy,55,28,71,5,7.5,none
Corn,Sandy,53,21,41,5,5.5,none
Rice,Clay,71,33,56,5,5.9,none
Rice,Silty,72,29,41,5,5.9,none
Corn,Sandy,42,25,75,4,6.8,none
Corn,Sandy,41,23,55,5,6.2,none
Wheat,Loamy,60,17,50,4,6.5,none
Corn,Sandy,47,19,44,4,5.7,none
Soybean,Loamy,50,28,81,3,6.9,none
Sugarcane,Loamy,62,28,76,4,7.2,none
Sugarcane,Peaty,51,34,87,5,6.9,irrigate
Sugarcane,Peaty,64,29,85,4,7.1,none
Soybean,Silty,49,27,54,3,7.0,none
Corn,Sandy,38,25,54,3,6.8,irrigate
Rice,Silty,77,24,57,4,5.3,none
Wheat,Clay,45,28,60,1,6.2,Fertilize
Sugarcane,Loamy,56,26,56,4,7.1,none
Rice,Clay,57,33,77,5,5.8,none
Soybean,Silty,60,23,89,4,6.4,none
Corn,Sandy,44,26,81,5,5.7,none
Corn,Loamy,44,20,87,5,5.6,none
Soybean,Silty,53,29,45,4,6.3,none
Soybean,Silty,45,26,48,4,7.0,none
Soybean,Silty,48,28,58,3,7.4,none
Soybean,Loamy,45,20,40,4,7.3,none
Sugarcane,Loamy,59,34,55,4,6.7,none
Corn,Loamy,40,22,56,5,5.7,none
Corn,Sandy,44,23,43,3,5.5,none
Soybean,Loamy,55,22,72,4,7.0,none
Corn,Loamy,54,26,83,5,6.7,none
Rice,Silty,58,25,55,5,5.2,none
Corn,Loamy,36,30,42,3,6.5,irrigate
Soybean,Silty,53,27,53,4,6.7,none
Wheat,Loamy,52,18,63,5,7.1,none
Soybean,Loamy,42,26,80,4,7.5,irrigate
Wheat,Clay,47,23,54,5,6.0,none
Corn,Loamy,50,20,81,5,6.6,none
Sugarcane,Loamy,60,32,63,4,6.9,none
Sugarcane,Peaty,51,31,87,5,6.7,irrigate
Rice,Clay,53,30,64,4,6.4,irrigate
Wheat,Loamy,43,20,52,3,6.1,irrigate
Sugarcane,Peaty,59,28,63,4,7.5,none
Soybean,Loamy,42,21,46,4,6.1,irrigate
Wheat,Clay,47,24,64,5,6.9,none
Wheat,Clay,43,25,50,4,7.5,irrigate
Wheat,Loamy,45,18,64,4,6.8,none
Wheat,Loamy,50,20,78,4,6.9,none
Wheat,Loamy,42,23,40,3,6.4,irrigate
Corn,Sandy,48,26,83,5,5.7,none
Rice,Silty,69,35,57,5,6.0,none
Wheat,Loamy,47,18,87,3,7.1,none
Sugarcane,Peaty,70,26,67,4,6.6,none
Rice,Silty,62,30,69,5,5.9,none
Rice,Clay,52,30,83,4,5.4,irrigate
Soybean,Peaty,40,27,58,1,6.4,Fertilize
Soybean,Loamy,46,28,67,4,6.8,none
Corn,Loamy,53,27,44,3,5.5,none
Corn,Sandy,38,23,54,5,6.7,irrigate
Wheat,Loamy,47,15,42,3,7.1,none
Sugarcane,Loamy,52,33,44,4,6.6,irrigate
Wheat,Loamy,48,22,77,5,6.3,none
Sugarcane,Peaty,59,32,57,5,6.9,none
Rice,Clay,76,35,88,4,5.1,none
Corn,Sandy,47,21,46,4,6.8,none
Wheat,Clay,53,25,43,5,6.5,none
Soybean,Silty,53,27,53,3,6.5,none
Sugarcane,Loamy,51,25,72,5,7.2,irrigate
Corn,Sandy,41,22,69,3,5.6,none
Sugarcane,Loamy,59,33,48,4,7.2,none
Wheat,Clay,52,21,52,5,6.9,none
Rice,Silty,69,26,83,5,5.3,none
Rice,Silty,54,32,69,5,5.4,irrigate
Soybean,Silty,60,30,71,3,6.6,none
Corn,Loamy,48,20,57,4,6.6,none
Soybean,Loamy,51,29,75,4,6.5,none
Wheat,Clay,53,17,42,3,6.9,none
Soybean,Silty,59,30,85,3,6.2,none
Soybean,Loamy,52,27,86,4,6.6,none
Soybean,Loamy,51,28,50,4,6.3,none
Corn,Sandy,51,27,49,3,6.0,none
Corn,Loamy,55,21,72,4,6.6,none
Rice,Clay,72,24,44,4,5.6,none
Wheat,Clay,43,23,81,3,7.2,irrigate
Sugarcane,Peaty,51,26,89,4,7.1,irrigate
Rice,Silty,58,24,43,4,5.0,none
Rice,Clay,54,27,82,5,5.9,irrigate
Wheat,Clay,53,21,87,5,6.4,none
Wheat,Loamy,53,21,46,5,7.5,none
Wheat,Clay,48,25,49,4,6.6,none
Soybean,Silty,40,27,62,3,7.3,irrigate
Corn,Loamy,47,19,69,4,6.8,none
Rice,Silty,54,34,48,5,5.6,irrigate
Rice,Clay,62,26,57,5,5.0,none
Sugarcane,Loamy,54,27,51,5,6.8,irrigate
Sugarcane,Peaty,66,28,79,5,6.9,none
Soybean,Silty,40,28,83,3,6.8,irrigate
Soybean,Loamy,58,30,85,3,6.7,none
Soybean,Loamy,56,20,69,4,7.4,none
Rice,Silty,52,33,47,4,5.8,irrigate
Wheat,Clay,47,22,46,4,6.3,none
Rice,Clay,71,21,57,4,6.1,none
Sugarcane,Loamy,56,34,42,5,6.9,none
Corn,Sandy,36,30,53,4,6.8,irrigate
Soybean,Silty,43,23,60,3,6.5,irrigate
Soybean,Silty,42,20,57,4,7.4,irrigate
Rice,Loamy,50,30,70,1,6.5,Fertilize
Rice,Clay,71,31,77,5,5.6,none
Rice,Clay,61,34,90,5,6.2,none
Corn,Loamy,52,29,57,3,6.8,none
Corn,Loamy,47,23,88,4,6.2,none
Corn,Loamy,51,30,78,3,6.3,none
Soybean,Loamy,52,21,70,3,6.4,none
Sugarcane,Peaty,59,26,87,5,7.2,none
Corn,Sandy,54,27,43,3,6.7,none
Soybean,Silty,57,26,69,3,6.4,none
Soybean,Silty,49,27,84,4,7.4,none
Soybean,Silty,41,30,58,4,6.0,irrigate
Sugarcane,Loamy,58,35,51,4,7.1,none
Wheat,Loamy,40,15,53,3,6.9,irrigate
Soybean,Silty,42,21,74,3,6.8,irrigate
Corn,Loamy,36,30,62,4,5.6,irrigate
Wheat,Clay,52,16,40,5,6.4,none
Rice,Clay,69,32,71,4,5.3,none
Sugarcane,Loamy,65,31,84,4,6.6,none
Sugarcane,Peaty,58,34,55,5,7.0,none
Soybean,Silty,53,29,76,4,6.4,none
Soybean,Loamy,41,22,64,4,7.3,irrigate
Wheat,Clay,54,23,75,3,6.3,none
Corn,Loamy,42,26,49,5,6.1,none
Sugarcane,Loamy,52,31,62,1,6.6,Fertilize
Wheat,Clay,59,23,49,3,7.3,none
Corn,Loamy,52,27,61,5,6.3,none
Corn,Loamy,35,20,55,3,6.7,irrigate
Sugarcane,Peaty,60,33,84,5,6.9,none
Rice,Silty,78,33,63,5,6.1,none
Wheat,Loamy,51,19,78,3,6.7,none
Wheat,Clay,56,20,46,5,6.7,none
Corn,Sandy,43,27,40,5,6.0,none
